price,built_at,year,dong,apart,month,date,area,floor,gu,latitude,longitude
"110,000",2011,2020,냉천동,돈의문센트레빌,5,11,84.99,2,서대문구,37.56609,126.9624432
"89,500",2002,2020,냉천동,동부센트레빌,5,17,114.92,9,서대문구,37.56609,126.9624432
"125,000",2011,2020,냉천동,돈의문센트레빌,5,28,114.98,10,서대문구,37.56609,126.9624432
"79,000",1995,2020,영천동,독립문삼호,5,9,75.66,4,서대문구,37.5702007,126.9586658
"81,000",1995,2020,영천동,독립문삼호,5,11,75.66,5,서대문구,37.5702007,126.9586658
"92,000",1995,2020,영천동,독립문삼호,5,20,108.63,6,서대문구,37.5702007,126.9586658
"103,500",1995,2020,영천동,독립문삼호,5,23,114.63,9,서대문구,37.5702007,126.9586658
"30,500",1969,2020,충정로3가,미동,6,4,55.57,4,서대문구,37.5631739,126.9639988
"68,500",2010,2020,충정로3가,충림예하임,6,4,84.6,2,서대문구,37.5618617,126.9616111
"83,000",2008,2020,충정로3가,우리유앤미,6,12,84.73,19,서대문구,37.5619629,126.9619328
"83,000",2008,2020,충정로3가,우리유앤미,6,20,84.73,13,서대문구,37.5619629,126.9619328
"33,500",2004,2020,충정로3가,충정리시온,6,24,33.32,6,서대문구,37.5602081,126.9647483
"52,000",2004,2020,충정로3가,충정리시온,6,25,44.88,20,서대문구,37.5602081,126.9647483
"72,000",2010,2020,충정로3가,충림예하임,6,25,84.6,5,서대문구,37.5618617,126.9616111
"105,400",2005,2020,충정로3가,충정솔레디움(102동),6,26,83.09,6,서대문구,37.5618406,126.9610824
"102,500",2008,2020,합동,에스케이뷰,6,25,84.909,8,서대문구,37.5620074,126.9659153
"100,000",2008,2020,합동,에스케이뷰,6,25,84.909,12,서대문구,37.5620074,126.9659153
"95,700",2003,2020,충정로3가,동호,7,4,79.52,3,서대문구,37.5618617,126.9616111
"84,500",2008,2020,충정로3가,우리유앤미,7,13,84.73,16,서대문구,37.5619629,126.9619328
"51,000",2004,2020,충정로3가,충정리시온,7,22,44.88,9,서대문구,37.5602081,126.9647483
"73,900",2010,2020,충정로3가,충림예하임,7,24,84.6,4,서대문구,37.5618617,126.9616111
"104,000",2008,2020,합동,에스케이뷰,7,4,84.98,6,서대문구,37.5620074,126.9659153
"104,000",2008,2020,합동,에스케이뷰,7,25,84.909,5,서대문구,37.5620074,126.9659153
"106,000",2008,2020,합동,에스케이뷰,7,27,84.98,15,서대문구,37.5620074,126.9659153
"83,500",2002,2020,냉천동,동부센트레빌,7,1,84.93,10,서대문구,37.56609,126.9624432
"66,200",2002,2020,냉천동,동부센트레빌,7,2,59.86,10,서대문구,37.56609,126.9624432
"96,000",2011,2020,냉천동,돈의문센트레빌,7,2,59.98,4,서대문구,37.56609,126.9624432
"72,500",2004,2020,충정로2가,로얄훼미리A,8,10,80.37,4,서대문구,37.5646792,126.9640448
"69,500",1987,2020,충정로3가,피어리스,8,1,84.24,14,서대문구,37.5628128,126.9648876
"106,000",2008,2020,합동,에스케이뷰,8,1,84.909,8,서대문구,37.5620074,126.9659153
"86,000",2008,2020,합동,에스케이뷰,8,5,59.956,13,서대문구,37.5620074,126.9659153
"95,000",2011,2020,냉천동,돈의문센트레빌,8,1,59.98,9,서대문구,37.56609,126.9624432
"104,700",2011,2020,냉천동,돈의문센트레빌,8,2,59.98,15,서대문구,37.56609,126.9624432
"125,000",2011,2020,냉천동,돈의문센트레빌,8,6,84.99,9,서대문구,37.56609,126.9624432
"85,000",2002,2020,냉천동,동부센트레빌,8,7,84.93,9,서대문구,37.56609,126.9624432
"88,000",2011,2020,냉천동,돈의문센트레빌,8,7,59.98,3,서대문구,37.56609,126.9624432
"148,000",2011,2020,냉천동,돈의문센트레빌,8,7,114.98,8,서대문구,37.56609,126.9624432
"74,000",1992,2020,충정로2가,현대,9,28,83.63,1,서대문구,37.563646,126.9631933
"40,800",2004,2020,충정로3가,충정리시온,9,3,38.7,10,서대문구,37.5602081,126.9647483
"48,000",2004,2020,충정로3가,충정리시온,9,13,41.48,14,서대문구,37.5602081,126.9647483
"35,000",1969,2020,충정로3가,미동,9,24,55.57,5,서대문구,37.5631739,126.9639988
"101,000",2008,2020,합동,에스케이뷰,9,19,84.909,6,서대문구,37.5620074,126.9659153
"94,000",2002,2020,냉천동,동부센트레빌,9,4,84.93,16,서대문구,37.56609,126.9624432
"125,000",2011,2020,냉천동,돈의문센트레빌,9,9,84.99,6,서대문구,37.56609,126.9624432
"61,000",2002,2020,냉천동,동부센트레빌,9,17,59.86,1,서대문구,37.56609,126.9624432
"145,000",2011,2020,냉천동,돈의문센트레빌,9,26,114.98,10,서대문구,37.56609,126.9624432
"72,000",2006,2020,천연동,천연뜨란채,9,5,55.85,2,서대문구,37.5679888,126.958443
"107,000",2008,2020,합동,에스케이뷰,10,14,84.909,11,서대문구,37.5620074,126.9659153
"113,000",2008,2020,합동,에스케이뷰,10,24,84.909,17,서대문구,37.5620074,126.9659153
"100,000",2008,2020,합동,에스케이뷰,10,26,84.98,5,서대문구,37.5620074,126.9659153
